Czas w sekundach;Wartość funkcji celu
0;1346
1;1229
2;1229
3;1229
4;1229
5;1229
6;1229
7;1229
8;1229
9;1229
10;1229
11;1229
12;1229
13;1229
14;1229
15;1229
16;1229
17;1229
18;1229
19;1229
20;1229
21;1229
22;1229
23;1229
24;1229
25;1229
26;1229
27;1229
28;1229
29;1229
30;1229
31;1229
32;1229
33;1229
34;1229
35;1229
36;1229
37;1229
38;1229
39;1229
40;1229
41;1229
42;1229
43;1229
44;1229
45;1229
46;1229
47;1229
48;1229
49;1229
50;1229
51;1229
52;1229
53;1229
54;1229
55;1229
56;1229
57;1229
58;1229
59;1229
60;1229
60;1229
