Czas w sekundach;Wartość funkcji celu
0;294100
1;32660
2;32660
3;32660
4;32660
5;32660
6;32660
7;32660
8;32660
9;32660
10;32660
11;32660
12;32451
13;32451
14;32451
15;32451
16;32451
17;32451
18;31236
19;31236
20;31236
21;31236
22;31236
23;31236
24;31236
25;31236
26;31236
27;31236
28;31236
29;31236
30;31236
31;31236
32;31236
33;31236
34;31236
35;31236
36;31236
37;31236
38;31236
39;31236
40;31236
41;31236
42;31236
43;31236
44;31236
45;31236
46;31236
47;31236
48;31236
49;31236
50;31236
51;31236
52;31236
53;31236
54;31236
55;31236
56;31236
57;31236
58;31236
59;31236
60;31236
