Czas w sekundach;Wartość funkcji celu
0;308714
1;267365
2;225019
3;199342
4;181097
5;163826
6;154741
7;131910
8;127458
9;115889
10;98770
11;98345
12;85121
13;80951
14;75450
15;65252
16;62147
17;60499
18;56102
19;53221
20;51831
21;49196
22;47246
23;45353
24;43027
25;41267
26;40765
27;40315
28;38646
29;38289
30;37470
31;36073
32;35247
33;34210
34;33573
35;33438
36;33438
37;33375
38;33079
39;32604
40;32265
41;32112
42;31654
43;31182
44;31120
45;31120
46;31120
47;31120
48;31120
49;30935
50;30845
51;30845
52;30840
53;30836
54;30682
55;30602
56;30573
57;30518
58;30518
59;30518
60;30518
