Czas w sekundach;Wartość funkcji celu
0;302827
1;284084
2;284084
3;284084
4;284084
5;283167
6;283167
7;283167
8;283167
9;276972
10;276972
11;276972
12;276972
13;276972
14;276972
15;276972
16;276972
17;276972
18;276972
19;276972
20;276972
21;276972
22;276972
23;276972
24;276972
25;276972
26;276972
27;276972
28;276972
29;276972
30;276972
31;276972
32;276972
33;276972
34;276972
35;276972
36;276972
37;276972
38;276972
39;276972
40;276972
41;276972
42;268093
43;268093
44;268093
45;268093
46;268093
47;268093
48;268093
49;268093
50;268093
51;268093
52;268093
53;268093
54;268093
55;268093
56;268093
57;268093
58;268093
59;268093
60;268093
