Czas w sekundach;Wartość funkcji celu
0;308259
1;118046
2;52069
3;35794
4;32614
5;32614
6;32614
7;32614
8;32614
9;32614
10;32614
11;32614
12;32614
13;32614
14;32614
15;32614
16;32614
17;32614
18;32614
19;32614
20;32614
21;32614
22;32614
23;32614
24;32614
25;32614
26;32614
27;32614
28;32614
29;32614
30;32614
31;32614
32;32614
33;32614
34;32614
35;32614
36;32614
37;32614
38;32614
39;32614
40;32614
41;32614
42;32614
43;32614
44;32614
45;32614
46;32614
47;32614
48;32614
49;32614
50;32614
51;32614
52;32614
53;32614
54;32614
55;32614
56;32614
57;32614
58;32614
59;32614
60;32614
