Czas w sekundach;Wartość funkcji celu
0;142615
1;142615
2;142615
3;142615
4;142615
5;142615
6;142615
7;142615
8;142615
9;142615
10;142615
11;142615
12;142615
13;142615
14;142615
15;130560
16;112976
17;103181
18;88081
19;80872
20;74163
21;67069
22;61500
23;58315
24;53461
25;46878
26;43824
27;40574
28;38753
29;37895
30;36478
31;35666
32;34220
33;33342
34;32906
35;32521
36;31648
37;31471
38;31471
39;31271
40;31227
41;31194
42;31133
43;30990
44;30986
45;30986
46;30986
47;30986
48;30986
49;30986
50;30986
51;30986
52;30986
53;30986
54;30986
55;30986
56;30986
57;30986
58;30986
59;30986
60;30986
