Czas w sekundach;Wartość funkcji celu
0;172309
1;167615
2;167615
3;167615
4;167615
5;167615
6;167615
7;167615
8;167615
9;167615
10;167615
11;167615
12;154287
13;154287
14;121278
15;119348
16;119348
17;111980
18;103093
19;92226
20;89240
21;80258
22;76958
23;69862
24;66899
25;64207
26;61491
27;56540
28;54409
29;52347
30;49660
31;48895
32;47391
33;44297
34;41411
35;40139
36;37642
37;37111
38;35312
39;34604
40;33846
41;33495
42;33110
43;33063
44;32941
45;32094
46;32088
47;32083
48;32083
49;32083
50;32083
51;32083
52;32083
53;32083
54;32083
55;32083
56;32083
57;32083
58;32083
59;32083
60;32083
