Czas w sekundach;Wartość funkcji celu
0;305669
1;294918
2;284097
3;284097
4;284097
5;283777
6;283777
7;274503
8;274503
9;274503
10;274503
11;274503
12;274503
13;274503
14;272091
15;272091
16;272091
17;267350
18;267350
19;264749
20;264749
21;264749
22;264749
23;264749
24;264749
25;264749
26;262831
27;262831
28;262831
29;262831
30;260971
31;260971
32;255241
33;252768
34;252768
35;245974
36;245974
37;245974
38;245974
39;245974
40;245974
41;245974
42;245974
43;245974
44;245974
45;245974
46;245974
47;245974
48;245974
49;245974
50;245974
51;245974
52;245974
53;244194
54;244194
55;243952
56;238651
57;238651
58;238651
59;235867
60;232748
