Czas w sekundach;Wartość funkcji celu
0;298965
1;262633
2;246941
3;246941
4;220402
5;213178
6;181881
7;181881
8;180817
9;174164
10;166513
11;150474
12;147838
13;141048
14;141048
15;133480
16;133480
17;133480
18;133480
19;133480
20;133480
21;133480
22;133480
23;133480
24;133480
25;133480
26;133480
27;131279
28;131279
29;129316
30;124914
31;124914
32;124914
33;124914
34;122540
35;115877
36;115877
37;115877
38;115877
39;110051
40;109103
41;106398
42;106398
43;106398
44;106398
45;101926
46;101926
47;101926
48;101926
49;101926
50;101926
51;101926
52;101926
53;101926
54;101926
55;101926
56;101926
57;101926
58;101926
59;101926
60;101926
