Czas w sekundach;Wartość funkcji celu
0;303354
1;285976
2;279358
3;279358
4;279358
5;279358
6;279358
7;277891
8;277891
9;277712
10;277712
11;277712
12;277712
13;277712
14;277712
15;277712
16;277712
17;277712
18;277712
19;277712
20;277712
21;277712
22;277712
23;277712
24;277712
25;277712
26;277712
27;268599
28;268599
29;268599
30;268599
31;268599
32;268599
33;268599
34;268599
35;268599
36;268599
37;268599
38;268599
39;268599
40;268599
41;268599
42;268599
43;268599
44;268599
45;268599
46;268599
47;268599
48;268599
49;268599
50;268599
51;268599
52;268599
53;268599
54;268599
55;268599
56;268599
57;268599
58;268599
59;268599
60;268599
