Czas w sekundach;Wartość funkcji celu
0;302460
1;289893
2;279871
3;272929
4;272929
5;272929
6;268538
7;265132
8;261511
9;247877
10;247877
11;244112
12;223836
13;199570
14;146274
15;146274
16;146274
17;124958
18;105095
19;105095
20;94555
21;88485
22;78572
23;71372
24;64157
25;62367
26;57820
27;55855
28;52692
29;48988
30;47184
31;45379
32;42973
33;41229
34;40016
35;38301
36;36339
37;36339
38;35679
39;34151
40;33889
41;33889
42;33694
43;32423
44;32018
45;31669
46;31427
47;31427
48;31236
49;31114
50;31005
51;31005
52;31005
53;31005
54;31005
55;31005
56;31005
57;31005
58;31005
59;31005
60;31005
