Czas w sekundach;Wartość funkcji celu
0;300370
1;288154
2;288154
3;288154
4;288154
5;288154
6;288154
7;288154
8;288154
9;288154
10;288154
11;288154
12;288154
13;288154
14;288154
15;288154
16;288154
17;288154
18;288154
19;288154
20;288154
21;288154
22;288154
23;288154
24;288154
25;288154
26;288154
27;288154
28;288154
29;288154
30;288154
31;288154
32;288154
33;288154
34;288154
35;288154
36;288154
37;288154
38;288154
39;288154
40;288154
41;288154
42;288154
43;288154
44;288154
45;288154
46;288154
47;288154
48;288154
49;288154
50;288154
51;288154
52;288154
53;288154
54;288154
55;288154
56;288154
57;288154
58;288154
59;288154
60;288154
