Czas w sekundach;Wartość funkcji celu
0;301591
1;277866
2;268607
3;268607
4;268607
5;268607
6;265476
7;262161
8;228461
9;190962
10;135535
11;104150
12;85730
13;68736
14;61273
15;52361
16;48682
17;44678
18;41233
19;37837
20;35480
21;34090
22;33531
23;32031
24;31765
25;31733
26;31733
27;31733
28;31733
29;31733
30;31733
31;31733
32;31733
33;31733
34;31733
35;31733
36;31733
37;31733
38;31733
39;31733
40;31733
41;31733
42;31733
43;31733
44;31733
45;31733
46;31733
47;31733
48;31733
49;31733
50;31733
51;31733
52;31733
53;31733
54;31733
55;31733
56;31733
57;31733
58;31733
59;31733
60;31733
