Czas w sekundach;Wartość funkcji celu
0;298785
1;282283
2;282283
3;282283
4;281699
5;277722
6;277722
7;277007
8;276284
9;271942
10;262843
11;262843
12;250877
13;236824
14;236824
15;229181
16;207670
17;199414
18;199414
19;188696
20;178568
21;166368
22;148347
23;140013
24;135042
25;127683
26;118593
27;108535
28;103338
29;96284
30;91627
31;87509
32;80905
33;78356
34;74135
35;70801
36;67267
37;66417
38;63376
39;60022
40;58220
41;58220
42;56538
43;55481
44;54977
45;51752
46;51296
47;50334
48;48233
49;46921
50;44799
51;42843
52;42159
53;42159
54;42159
55;42159
56;41830
57;41214
58;39854
59;38743
60;37750
