Czas w sekundach;Wartość funkcji celu
0;139861
1;136763
2;136763
3;136763
4;136763
5;136763
6;136763
7;136763
8;136763
9;136763
10;136763
11;136763
12;136763
13;136763
14;134116
15;125622
16;112949
17;104406
18;104406
19;98467
20;88031
21;81560
22;72923
23;67196
24;62553
25;59917
26;56721
27;51510
28;49901
29;47237
30;47237
31;46573
32;45342
33;43135
34;42619
35;40588
36;38773
37;37311
38;36393
39;35443
40;35443
41;34945
42;34945
43;34851
44;34108
45;34108
46;33347
47;32924
48;32628
49;32443
50;32210
51;31765
52;31375
53;31375
54;31375
55;31375
56;31375
57;31375
58;31375
59;31375
60;31375
