second;swapAC;insertAC;invertAC;3optAC;swap;insert;invert3opt;
1;6833;6703;6523;6578;6841;6717;6523;6603
2;6833;6703;6523;6511;6841;6717;6523;6517
3;6833;6703;6523;6493;6841;6717;6523;6493
4;6833;6703;6523;6493;6841;6717;6523;6493
5;6833;6703;6523;6493;6841;6717;6523;6493
6;6833;6703;6523;6493;6841;6717;6523;6493
7;6833;6703;6523;6493;6841;6717;6523;6493
8;6833;6703;6523;6493;6841;6717;6523;6493
9;6833;6703;6523;6493;6841;6717;6523;6493
10;6833;6703;6523;6493;6841;6717;6523;6493
11;6833;6703;6523;6493;6841;6717;6523;6493
12;6833;6703;6523;6493;6841;6717;6523;6493
13;6833;6703;6523;6493;6841;6717;6523;6493
14;6833;6703;6523;6493;6841;6717;6523;6493
15;6833;6703;6523;6493;6841;6717;6523;6493
16;6833;6703;6523;6493;6841;6717;6523;6493
17;6833;6703;6523;6493;6841;6717;6523;6493
18;6833;6703;6523;6493;6841;6717;6523;6493
19;6833;6703;6523;6493;6841;6717;6523;6493
20;6833;6703;6523;6493;6841;6717;6523;6493
21;6833;6703;6523;6493;6841;6717;6523;6493
22;6833;6703;6523;6493;6841;6717;6523;6493
23;6833;6703;6523;6493;6841;6717;6523;6493
24;6833;6703;6523;6493;6841;6717;6523;6493
25;6833;6703;6523;6493;6841;6717;6523;6493
26;6833;6703;6523;6493;6841;6717;6523;6493
27;6833;6703;6523;6493;6841;6717;6523;6493
28;6833;6703;6523;6493;6841;6717;6523;6493
29;6833;6703;6523;6493;6841;6717;6523;6493
30;6833;6703;6523;6493;6841;6717;6523;6493
31;6833;6703;6523;6493;6841;6717;6523;6493
32;6833;6703;6523;6493;6841;6717;6523;6493
33;6833;6703;6523;6493;6841;6717;6523;6493
34;6833;6703;6523;6493;6841;6717;6523;6493
35;6833;6703;6523;6493;6841;6717;6523;6493
36;6833;6703;6523;6493;6841;6717;6523;6493
37;6833;6703;6523;6493;6841;6717;6523;6493
38;6833;6703;6523;6493;6841;6717;6523;6493
39;6833;6703;6523;6493;6841;6717;6523;6493
40;6833;6703;6523;6493;6841;6717;6523;6493
41;6833;6703;6523;6493;6841;6717;6523;6493
42;6833;6703;6523;6493;6841;6717;6523;6493
43;6833;6703;6523;6493;6841;6717;6523;6493
44;6833;6703;6523;6493;6841;6717;6523;6493
45;6833;6703;6523;6493;6841;6717;6523;6493
46;6833;6703;6523;6493;6841;6717;6523;6493
47;6833;6703;6523;6493;6841;6717;6523;6493
48;6833;6703;6523;6493;6841;6717;6523;6493
49;6833;6703;6523;6493;6841;6717;6523;6493
50;6833;6703;6523;6493;6841;6717;6523;6493
51;6833;6703;6523;6493;6841;6717;6523;6493
52;6833;6703;6523;6493;6841;6717;6523;6493
53;6833;6703;6523;6493;6841;6717;6523;6493
54;6833;6703;6523;6493;6841;6717;6523;6493
55;6833;6703;6523;6493;6841;6717;6523;6493
56;6833;6703;6523;6493;6841;6717;6523;6493
57;6833;6703;6523;6493;6841;6717;6523;6493
58;6833;6703;6523;6493;6841;6717;6523;6493
59;6833;6703;6523;6493;6841;6717;6523;6493
60;6833;6703;6523;6493;6841;6717;6523;6493
