second;swapAC;insertAC;invertAC;3optAC;swap;insert;invert3opt;
1;57934;53972;52007;60762;57958;53988;52007;60762
2;57934;53757;52007;60762;57940;53745;52007;60762
3;57790;53739;52007;60762;57835;53745;52007;60762
4;57790;53739;52007;60762;57835;53745;52007;60762
5;57790;53739;52007;60762;57835;53745;52007;60762
6;57790;53739;52007;60762;57835;53745;52007;60762
7;57790;53739;52007;60762;57835;53745;52007;60762
8;57790;53739;52007;60762;57835;53739;52007;60762
9;57790;53739;52007;60762;57835;53739;52007;60762
10;57790;53739;51966;60762;57835;53739;52007;60762
11;57790;53739;51966;60762;57835;53739;52007;60762
12;57790;53739;51966;60762;57835;53739;52007;60762
13;57790;53734;51966;59760;57835;53739;52007;59760
14;57790;53734;51966;59760;57835;53739;52007;59760
15;57790;53734;51966;59760;57835;53739;52007;59760
16;57790;53734;51966;59760;57835;53739;52007;59760
17;57790;53734;51966;59760;57835;53739;52007;59760
18;57790;53734;51966;59760;57835;53739;52007;59760
19;57790;53734;51966;59760;57835;53739;52007;59760
20;57790;53734;51966;59760;57835;53739;52007;59760
21;57790;53734;51966;59760;57835;53739;52007;59760
22;57790;53734;51966;59760;57835;53739;52007;59760
23;57790;53734;51966;59760;57835;53739;52007;59760
24;57790;53734;51966;59760;57835;53739;52007;59760
25;57790;53734;51966;59760;57835;53739;52007;59760
26;57790;53734;51966;59164;57835;53739;52007;59164
27;57790;53734;51966;59164;57835;53739;52007;59164
28;57790;53734;51966;59164;57835;53739;52007;59164
29;57790;53734;51966;59164;57835;53739;52007;59164
30;57790;53734;51966;59164;57835;53739;52007;59164
31;57790;53734;51966;59164;57835;53739;52007;59164
32;57790;53734;51966;59164;57835;53739;52007;59164
33;57790;53734;51966;59164;57835;53739;52007;59164
34;57790;53734;51966;59164;57835;53739;52007;59164
35;57790;53734;51966;59164;57835;53739;52007;59164
36;57790;53734;51966;59164;57835;53739;52007;59164
37;57790;53734;51966;59164;57835;53739;52007;59164
38;57790;53734;51966;59164;57835;53739;52007;59164
39;57790;53734;51966;58666;57835;53739;52007;58666
40;57790;53734;51966;58666;57835;53739;52007;58666
41;57790;53734;51966;58666;57835;53739;52007;58666
42;57790;53734;51966;58666;57835;53739;52007;58666
43;57790;53734;51966;58666;57835;53739;52007;58666
44;57790;53734;51966;58666;57835;53739;52007;58666
45;57790;53734;51966;58666;57835;53739;52007;58666
46;57790;53734;51966;58666;57835;53739;52007;58666
47;57790;53734;51966;58666;57835;53739;52007;58666
48;57790;53734;51966;58666;57835;53739;52007;58666
49;57790;53734;51966;58666;57835;53739;52007;58666
50;57790;53734;51966;58666;57835;53739;52007;58666
51;57790;53734;51966;58666;57835;53739;52007;58666
52;57790;53734;51966;58240;57835;53739;52007;58240
53;57790;53734;51966;58240;57835;53739;52007;58240
54;57790;53734;51966;58240;57835;53739;52007;58240
55;57790;53734;51966;58240;57835;53739;52007;58240
56;57790;53734;51966;58240;57835;53739;52007;58240
57;57790;53734;51966;58240;57835;53739;52007;58240
58;57790;53734;51966;58240;57835;53739;52007;58240
59;57790;53734;51966;58240;57835;53739;52007;58240
60;57790;53734;51966;58240;57835;53739;52007;58240
