second;swapAC;insertAC;invertAC;swap;insert;invert
1;2497216;2550067;2481392;2489144;2550067;2481392
2;2427168;2531737;2406082;2427168;2531737;2396863
3;2362869;2513841;2325318;2369769;2513841;2316614
4;2302238;2492120;2252384;2308819;2492120;2243933
5;2244524;2475248;2177799;2250854;2475248;2169731
6;2195659;2458815;2105665;2189740;2458815;2101735
7;2143369;2442687;2039381;2137723;2438700;2031687
8;2094659;2422936;1971112;2089374;2422936;1967397
9;2047983;2407399;1908889;2037847;2407399;1901732
10;2003240;2392375;1845221;1993509;2388647;1841711
11;1955398;2377615;1787001;1950799;2373955;1780284
12;1913357;2359468;1727290;1904288;2359468;1724002
13;1872996;2345314;1672120;1864294;2341791;1665744
14;1838501;2331247;1615474;1825841;2327741;1612345
15;1801082;2317302;1560563;1785074;2313840;1557562
16;1761625;2300049;1510248;1750100;2296614;1504433
17;1727288;2286375;1458215;1716082;2282966;1455373
18;1694035;2272896;1407350;1679623;2269561;1404559
19;1661997;2256296;1360729;1648205;2256296;1358042
20;1627914;2243141;1312429;1617896;2239864;1309792
21;1598156;2226798;1268029;1584868;2226798;1262880
22;1565675;2213813;1224606;1556247;2213813;1219557
23;1536881;2200910;1179590;1524793;2197691;1174676
24;1509964;2188039;1136102;1498283;2184825;1133547
25;1481204;2172040;1095633;1469363;2172040;1090951
26;1455707;2159441;1053924;1444874;2156319;1049343
27;1431507;2147014;1013179;1419808;2143923;1010967
28;1404397;2131662;975583;1394467;2131662;971272
29;1382283;2119563;937264;1372533;2116543;933083
30;1357863;2104593;899933;1350851;2104593;897887
31;1336850;2092877;865634;1327830;2092877;863664
32;1314617;2081291;834387;1308163;2078434;828633
33;1295134;2067079;800227;1285977;2067079;794672
34;1275598;2055776;768652;1267616;2055776;761404
35;1255834;2044689;736557;1248077;2041943;729581
36;1238250;2031028;705471;1230803;2031028;698682
37;1219592;2020266;675089;1211961;2020266;670112
38;1203055;2009716;647193;1196030;2007103;640757
39;1185630;1999359;618802;1178778;1996784;612657
40;1169663;1986550;592966;1163035;1986550;587065
41;1152428;1976413;566794;1147171;1973893;561060
42;1136113;1966397;541423;1131409;1963908;535945
43;1122221;1954028;518358;1116253;1954028;511816
44;1107411;1944202;495283;1102578;1941750;489126
45;1094083;1933943;474724;1088261;1931501;467647
46;1081400;1921792;453742;1076092;1921792;448106
47;1067234;1912202;433679;1062125;1909815;428268
48;1053760;1900298;414549;1047579;1900298;409410
49;1042770;1893189;396522;1036907;1890833;391732
50;1030972;1883808;379653;1025336;1879152;375261
51;1023067;1874511;364886;1015381;1869875;359924
52;1012167;1865243;351043;1002937;1858335;346448
53;1000842;1853737;338200;991457;1849142;333382
54;989415;1844555;326153;981871;1839680;321742
55;979910;1835139;314945;972071;1828358;310295
56;971129;1823854;304794;962768;1819354;300483
57;961866;1814870;295296;954699;1810396;291331
58;952794;1805777;285908;943514;1799113;283092
59;942380;1794694;277769;934742;1790289;274837
60;934742;1785895;269808;925807;1781523;267027
