second;swapAC;insertAC;invertAC;swap;insert;invert
1;74421;74394;72493;74421;74394;72493
2;74130;74047;71179;74130;74000;71179
3;73902;73746;70399;73902;73746;70399
4;73759;73521;69765;73759;73521;69796
5;73719;73336;69256;73719;73358;69256
6;73645;73187;68838;73627;73207;68838
7;73644;73035;68496;73627;73035;68511
8;73609;72889;68174;73574;72889;68174
9;73546;72737;67826;73525;72768;67836
10;73500;72568;67666;73461;72603;67666
11;73500;72437;67640;73460;72453;67640
12;73500;72329;67640;73460;72344;67640
13;73500;72224;67640;73460;72239;67640
14;73500;72107;67640;73460;72122;67640
15;73498;71982;67640;73460;72017;67640
16;73479;71865;67640;73460;71878;67640
17;73384;71770;67640;73433;71783;67640
18;73360;71665;67640;73433;71677;67640
19;73351;71587;67640;73402;71598;67640
20;73351;71510;67640;73402;71521;67640
21;73320;71431;67640;73402;71431;67640
22;73320;71350;67640;73402;71350;67640
23;73320;71223;67640;73402;71223;67640
24;73320;71144;67640;73402;71144;67640
25;73256;71074;67640;73402;71074;67640
26;73256;71011;67640;73402;71011;67640
27;73225;70950;67640;73402;70956;67640
28;73225;70886;67640;73402;70892;67640
29;73225;70838;67640;73402;70844;67640
30;73225;70797;67640;73402;70803;67640
31;73225;70703;67640;73402;70717;67640
32;73225;70636;67640;73402;70641;67640
33;73225;70599;67640;73402;70603;67640
34;73225;70568;67640;73402;70572;67640
35;73225;70524;67640;73402;70532;67640
36;73225;70472;67640;73402;70484;67640
37;73225;70445;67640;73402;70446;67640
38;73225;70426;67640;73402;70426;67640
39;73225;70395;67640;73402;70395;67640
40;73225;70360;67640;73402;70360;67640
41;73225;70360;67640;73402;70360;67640
42;73225;70340;67640;73402;70360;67640
43;73225;70340;67640;73402;70344;67640
44;73225;70340;67640;73402;70344;67640
45;73225;70340;67640;73402;70344;67640
46;73225;70340;67640;73402;70344;67640
47;73225;70340;67640;73402;70344;67640
48;73225;70324;67640;73402;70344;67640
49;73225;70324;67640;73402;70344;67640
50;73225;70324;67640;73402;70328;67640
51;73225;70324;67640;73402;70328;67640
52;73225;70324;67640;73402;70328;67640
53;73225;70324;67640;73402;70328;67640
54;73225;70324;67640;73402;70328;67640
55;73225;70324;67640;73402;70328;67640
56;73225;70324;67640;73402;70328;67640
57;73225;70324;67640;73402;70328;67640
58;73225;70324;67640;73402;70328;67640
59;73225;70324;67640;73402;70328;67640
60;73225;70324;67640;73402;70328;67640
